Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Fxy,Min,dlc64_U04_Yp8_988,-32611.87890625,-74610536,74610544,-17571.96484375,4.00489807128906,-2.11405229568481,4.52862310409546,-22831596,1
Fz,Max,dlc64_U34_Yp8_669,92658864,30374436,97510368,10995113,651483.5625,-542047.625,847494.1875,-22050872,1
Fz,Min,dlc13_U26_Yp10_839,38737307.7,201071764.8,204769209.6,50210566.2,3001243.3875,549385.4953125,3051112.3875,-32622223.5,1.35
Span:,-14.8999996,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,630360576,-80504344.8,635480467.2,44421083.1,548791.3265625,-4013154.45,4050503.55,-30409851.6,1.35
Mx,Min,dlc61_U50_Ym8_278,-685350244.8,130460500.8,697656715.2,-41655961.8,1807614.225,4358313.3375,4718300.9625,-30094243.2,1.35
My,Max,dlc13_U20_Yp10_82,24413626.8,641189822.4,641654438.4,5590011.4875,4576239.7875,-48064.2609375,4576492.2375,-31529976.3,1.35
My,Min,dlc14_U11,147537007.2,-280926100.8,317311581.6,52566208.2,-1290565.153125,-822869.971875,1530579.54375,-30836980.8,1.35
Mxy,Max,dlc61_U50_Ym8_278,-684648633.6,139342766.4,698684616,-40487534.1,1902340.51875,4346383.3875,4744464.975,-30172896.9,1.35
Mxy,Min,dlc11_U04_Ym10_295,16650.6567382813,10390.2209472656,19626.5393066406,2369716.71875,549724.8828125,50284.2431640625,552019.8828125,-28574617.5,1.25
Mz,Max,dlc13_U24_Yp10_735,50204755.8,31522653.9,59280649.2,82437528.6,1055037.909375,371800.29375,1118633.2875,-31600708.2,1.35
Mz,Min,dlc13_U24_Ym10_735,-23174710.2,41547991.5,47574183.6,-90458019,749034.253125,362114.296875,831973.021875,-30266646.3,1.35
Fx,Max,dlc13_U18_Ym10_353,-322966.4484375,637102756.8,637102843.2,-18746220.15,4767511.1625,222061.47890625,4772679.975,-31441645.8,1.35
Fx,Min,dlc14_U11,143164324.8,-279180388.8,313747840.8,53854081.2,-1317072.909375,-785722.021875,1533636.28125,-30808047.6,1.35
Fy,Max,dlc61_U50_Ym8_278,-685350244.8,130460500.8,697656715.2,-41655961.8,1807614.225,4358313.3375,4718300.9625,-30094243.2,1.35
Fy,Min,dlc61_U50_Yp8_37,630360576,-80504344.8,635480467.2,44421083.1,548791.3265625,-4013154.45,4050503.55,-30409851.6,1.35
Fxy,Max,dlc13_U18_Ym10_353,31044559.5,635938948.8,636696244.8,-20945925,4749594.3,-539099.04375,4780091.475,-31228407.9,1.35
Fxy,Min,dlc64_U04_Ym8_988,-49036.73828125,-75120920,75120936,-43596.05078125,-5.96999740600586,4.17710494995117,7.28622484207153,-22821884,1
Fz,Max,dlc64_U34_Yp8_669,92604728,30309306,97438648,10995110,651311.9375,-541437,846971.8125,-22037858,1
Fz,Min,dlc13_U26_Yp10_839,38792490.3,200771546.4,204484888.8,50210458.2,3000132.3375,549731.896875,3050082,-32604651.9,1.35
Span:,-10,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,610654939.2,-83193161.4,616295865.6,44409810.6,545579.6765625,-4033429.7625,4070161.2375,-29563639.2,1.35
Mx,Min,dlc61_U50_Ym8_278,-663951859.2,121589629.2,674993390.4,-41642920.8,1810953.7875,4380390.225,4739975.8875,-29247380.1,1.35
My,Max,dlc13_U20_Yp10_82,24178146.3,618722928,619195147.2,5592712.1625,4596998.7375,-48258.9984375,4597252.2,-30683340,1.35
My,Min,dlc14_U11,143491348.8,-274584686.4,309816921.6,52565101.2,-1300358.896875,-827945.128125,1541566.18125,-29992580.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-663308611.2,130007732.4,675929232,-40474638.9,1905631.3125,4368581.4375,4766123.7,-29326017.6,1.35
Mxy,Min,dlc11_U04_Y0_39,18659.5495605469,18507.7563476563,26281.474609375,7747819.375,556696.5625,70621.2158203125,561158.125,-27861127.5,1.25
Mz,Max,dlc13_U24_Yp10_735,52023324.6,26354964.6,58318185.6,82422327.6,1053045.39375,367391.6578125,1115294.23125,-30756766.5,1.35
Mz,Min,dlc13_U24_Ym10_735,-21401274.6,37874835.9,43503077.7,-90451414.8,750751.70625,361491.8625,833249.3625,-29422664.1,1.35
Fx,Max,dlc13_U18_Ym10_353,761988.6,613700971.2,613701446.4,-18745506,4786488.7875,221766.1453125,4791623.5125,-30594971.7,1.35
